title,org,level,term,closing_date,posted_date
"Development Partner / Senior Development Partner, Spore-India Partnership Office",Enterprise Singapore,Entry level,Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
"Senior Associate, Internal Audit (Contract)",Enterprise Singapore,Entry level,Contract,Closing in 5  day(s),1 week(s) ago
"Deputy Director, Internal Audit",Enterprise Singapore,Entry level,Permanent/Contract,Closing in 5  day(s),1 week(s) ago
"Senior Auditor, Internal Audit",Enterprise Singapore,Entry level,Permanent/Contract,Closing in 5  day(s),1 week(s) ago
"UX/UI, Project Manager (Contract)",Enterprise Singapore,Entry level,Contract,Closing in 2  day(s),1 week(s) ago
"Associate/Senior Associate, Marketing Communications (Contract)",Enterprise Singapore,Entry level,Contract,Closing in 2  day(s),1 week(s) ago
Development Partner - Circular Economy & Sustainability (Contract),Enterprise Singapore,Entry level,Contract,Closing on 22 Mar 2022,6 day(s) ago
"Business Advisor, Heartland Go Digital Project (Contract)",Enterprise Singapore,Entry level,Contract,Closing in 2  day(s),1 week(s) ago
"Senior Associate, Workplace Experience (Contract)",Enterprise Singapore,Entry level,Contract,Closing in 2  day(s),1 week(s) ago
"Senior Associate, Strategic Procurement (Contract)",Enterprise Singapore,Entry level,Contract,Closing in 2  day(s),1 week(s) ago
"Associate / Senior Associate, Finance (Contract)",Enterprise Singapore,Entry level,Contract,Closing in 2  day(s),1 week(s) ago
Senior Manager / Manager (Corporate Communications),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
#SGUnitedJobs Temporary Staff,Monetary Authority of Singapore,Entry level,Fixed Terms,Closing on 30 Apr 2022,1 month(s) ago
"Assistant Manager (Software Specialist, Application Development)",Temasek Polytechnic,02-15 year(s),Permanent/Contract,Closing on 31 Mar 2022,2 week(s) ago
Executive/Senior Executive/Manager #WSIP #SGUnitedJobs,Public Service Division,Entry level,Contract,Closing on 31 Mar 2022,2 week(s) ago
Foreign Service Officer (Functional & Corporate),Ministry of Foreign Affairs,Entry level,Permanent/Contract,,
Engineer (Air Traffic Management Support Systems),Civil Aviation Authority of Singapore,00-08 year(s),Contract,Closing on 31 Mar 2022,2 week(s) ago
Software Engineer (Air Traffic Management Software Engineering) - Post 1,Civil Aviation Authority of Singapore,00-10 year(s),Contract,,
Senior Manager / Manager (Digital Development),Civil Aviation Authority of Singapore,04-15 year(s),Contract,,
"Business Partner/Senior Business Partner, Digital",Enterprise Singapore,Entry level,Permanent/Contract,Closing in 4  day(s),1 week(s) ago
Engineer (Air Traffic Management System Infrastructure and Architecture),Civil Aviation Authority of Singapore,00-10 year(s),Contract,,
Principal Engineer/ Senior Engineer (Air Navigation Services Cybersecurity),Civil Aviation Authority of Singapore,05-15 year(s),Contract,Closing on 31 Mar 2022,1 month(s) ago
Assistant Director (Financial Control),Civil Aviation Authority of Singapore,10-20 year(s),Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
Software Engineer (Air Traffic Management Software Engineering) - Post 2,Civil Aviation Authority of Singapore,00-15 year(s),Contract,,
Engineer (ANS Infrastructure and Network Architecture),Civil Aviation Authority of Singapore,02-10 year(s),Contract,Closing on 31 Mar 2022,2 month(s) ago
Senior Manager / Manager (Airport Development and Planning) - Land Resource Mana,Civil Aviation Authority of Singapore,04-12 year(s),Contract,,
Senior Manager / Manager (Emergency Preparedness),Civil Aviation Authority of Singapore,04-15 year(s),Contract,Closing on 31 Mar 2022,2 week(s) ago
MET / Aeronautical Telecommunications Inspector,Civil Aviation Authority of Singapore,03-12 year(s),Contract,,
Senior Manager / Manager (Continuing Airworthiness),Civil Aviation Authority of Singapore,04-12 year(s),Contract,,
Assistant Director (Analytics),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Senior Manager / Manager / Assistant Manager (Medical Technology Adoption) (2-Ye,Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Senior Manager / Manager (Planning & Administration) (2-Year Contract),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Senior / Health Policy Analyst (Subvention) – LTC,Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Senior / Health Policy Analyst (Finance Policy – Integrated Shield Plans),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Senior / Health Policy Analyst (Finance Governance and Systems) - G&A,Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Manager / Assistant Manager (Finance Systems Policy),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Medical Officer (Vaccination Operations Centre) (3+3 Months Contract),Ministry of Health,Entry level,Contract,Closing in 5  day(s),3 week(s) ago
Manager (Vaccination Operations) (1-Year Contract),Ministry of Health,Entry level,Contract,Closing in 5  day(s),3 week(s) ago
Senior Manager / Manager (Future Systems) (1-Year Contract),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Assistant Director (School Health Services & School Health Centre),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Senior Manager / Manager (Data Protection),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Senior Manager / Manager (Data Access),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
"Data Analyst (Data Management Unit, Contact Tracing Centre) (1-Year Contract)",Ministry of Health,Entry level,Contract,Closing in 5  day(s),3 week(s) ago
Contact Tracing Executive Officers (Contact Tracing Centre) (1-Year Contract),Ministry of Health,Entry level,Contract,Closing in 5  day(s),3 week(s) ago
Senior / Health Policy Analyst (Finance Partnership & Commissioning),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Manager / Assistant Manager (Process),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Manager / Assistant Manager (Plans),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
Manager / Assistant Manager (Data),Ministry of Health,Entry level,Permanent/Contract,Closing in 5  day(s),3 week(s) ago
"Assistant Development Partner, Support (Incentive Management) - 1 Year Contract",Enterprise Singapore,Entry level,Contract,Closing in 3  day(s),1 week(s) ago
"Senior Statistical Specialist/Statistical Specialist, Analysis (MRSD)",Ministry of Manpower,Entry level,Contract,Closing on 29 Mar 2022,6 day(s) ago
Engineer (ATM Programme & System Engineering),Civil Aviation Authority of Singapore,00-12 year(s),Permanent,Closing on 31 Mar 2022,1 month(s) ago
Foreign Service Officer (Political & Economic),Ministry of Foreign Affairs,Entry level,Permanent/Contract,,
"Finance Executive, Corporate Planning and Management Department - Contract",Ministry of Manpower,Entry level,Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
"Assistant Manager/Manager (Social Development Network), FSD/FDG",Ministry Of Social And Family Development,Entry level,Contract,Closing in 4  day(s),1 week(s) ago
"Assistant Manager/Manager (Families for Life Secretariat), FPP/FDG",Ministry Of Social And Family Development,Entry level,Contract,Closing in 4  day(s),1 week(s) ago
Narcotics Officer (Direct-Entry Inspector),MHA- Central Narcotics Bureau,Entry level,Permanent,,
Fire and Rescue Officer (Direct-Entry Lieutenant),MHA - Singapore Civil Defence Force (SCDF),Entry level,Permanent,,
SCDF Paramedic Officer (Direct-Entry Lieutenant),MHA - Singapore Civil Defence Force (SCDF),Entry level,Permanent,,
Senior Sport Biomechanist,Sport Singapore,Entry level,Permanent/Contract,Closing on 30 Mar 2022,1 week(s) ago
"Manager/Senior Manager, Infrastructure Development",Sport Singapore,Entry level,Permanent/Contract,Closing on 25 Mar 2022,3 day(s) ago
"Manager/Senior Manager, Process Assurance, Infrastructure Standards",Sport Singapore,Entry level,Permanent/Contract,Closing on 25 Mar 2022,3 day(s) ago
"Manager/Senior Manager, Assurance Services, Assurance & Corporate Excellence (AC",Sport Singapore,Entry level,Permanent/Contract,Closing in 4  day(s),1 week(s) ago
"Manager/Senior Manager, Assurance & Corporate Excellence (ACE) Strategy",Sport Singapore,Entry level,Permanent/Contract,Closing in 4  day(s),1 week(s) ago
"Associate / Senior Associate, Global Innovation Network (Contract)",Enterprise Singapore,Entry level,Contract,Closing on 22 Mar 2022,5 day(s) ago
"Investment Manager / Senior Investment Manager, SEEDS Capital",Enterprise Singapore,Entry level,Permanent,Closing on 22 Mar 2022,5 day(s) ago
"Development Partner / Senior Development Partner, Global Innovation Network",Enterprise Singapore,Entry level,Permanent,Closing on 22 Mar 2022,5 day(s) ago
"Devt Partner / Senior Devt Partner, Startup Development",Enterprise Singapore,Entry level,Permanent,Closing on 22 Mar 2022,5 day(s) ago
"Development Partner / Senior Development Partner, Urban Solutions",Enterprise Singapore,Entry level,Permanent,Closing on 22 Mar 2022,5 day(s) ago
"Development Partner / Senior Development Partner, Transport & Logistics",Enterprise Singapore,Entry level,Permanent,Closing on 22 Mar 2022,5 day(s) ago
"Associate/Senior Associate, DDI (Applications) (Contract)",Enterprise Singapore,Entry level,Contract,Closing in 2  day(s),1 week(s) ago
Senior Sport Psychologist,Sport Singapore,Entry level,Permanent/Contract,Closing in 4  day(s),1 week(s) ago
"Principal Executive/Assistant Manager, GeoSpatial Planning & Services",Singapore Land Authority,03-05 year(s),Contract,,
"Development Partner/ Senior Development Partner, Financing Ecosystem",Enterprise Singapore,Entry level,Permanent,Closing on 22 Mar 2022,5 day(s) ago
Senior Manager / Manager (Air Navigation Services Safety and Security),Civil Aviation Authority of Singapore,00-11 year(s),Contract,,
"ComLink Engagement Officer, SDCD/SPSG",Ministry Of Social And Family Development,Entry level,Permanent/Contract,Closing in 2  day(s),2 week(s) ago
"Assistant Manager/ Manager, Strategic Leadership (Sun  Ray & Boards)",National Council of Social Service,Entry level,Contract,Closing on 21 Mar 2022,1 month(s) ago
Manager/ Assistant Manager (Corporate Communications Division),National Environment Agency,03-05 year(s),Permanent,Closing on 21 Mar 2022,1 week(s) ago
Legal Counsel (24-mth Contract),Singapore Land Authority,04-00 year(s),Contract,,
"(Snr) Development Partner, Strategic Partnerships & Resilience",Enterprise Singapore,Entry level,Permanent/Contract,Closing on 24 Mar 2022,4 day(s) ago
"Senior/Principal Executive / Assistant Manager, GeoSpatial Industry Development",Singapore Land Authority,03-05 year(s),Contract,Closing in 2  day(s),6 day(s) ago
"Senior / Assistant Director, Communications (ACE Group) - Contract",Ministry of Manpower,Entry level,Permanent/Contract,Closing on 24 Mar 2022,3 week(s) ago
Prison Officer (Sergeant),MHA - Singapore Prison Service (SPS),Entry level,Permanent,,
"Assistant Director, Corporate Communications",Monetary Authority of Singapore,Entry level,Permanent,Closing on 31 Mar 2022,1 week(s) ago
Assistant Director (Infocomm Resources & Technology),Info-communications Media Development Authority,Entry level,Permanent,Closing on 22 Mar 2022,5 day(s) ago
Foreign Service Administration Specialist,Ministry of Foreign Affairs,Entry level,Permanent/Contract,,
"Senior Engineer / Engineer  (Communications, Navigation, Surveillance Support Sy",Civil Aviation Authority of Singapore,00-11 year(s),Contract,,
"Associate/Senior Associate (Data Engineer), DDI (Contract)",Enterprise Singapore,Entry level,Contract,Closing in 2  day(s),1 week(s) ago
"Associate/Senior Associate, DDI (Procurement Partner) (Contract)",Enterprise Singapore,Entry level,Contract,Closing in 2  day(s),1 week(s) ago
"Associate/Senior Associate, Digital Business Analyst (Contract)",Enterprise Singapore,Entry level,Contract,Closing in 2  day(s),1 week(s) ago
Sport Champion - ActiveSG (Sport Centres Operations),Sport Singapore,Entry level,Contract,Closing in 5  day(s),1 week(s) ago
"Manager / Senior Manager, Covid Audit and Inspection on 1-year contract",Economic Development Board,03-10 year(s),Contract,,
"Business Partner/Senior Business Partner, People & Culture",Enterprise Singapore,Entry level,Permanent/Contract,Closing in 4  day(s),1 week(s) ago
"Business Partner/Senior Business Partner, Global Workforce",Enterprise Singapore,Entry level,Permanent/Contract,Closing on 24 Mar 2022,4 day(s) ago
Media Relations Manager (2-year fixed term contract) [Corporate Marketing and Co,Workforce Singapore,Entry level,Contract,Closing in 2  day(s),1 week(s) ago
Senior Data Analyst / Data Analyst (Data Analytics Division) (Evergreen),Workforce Singapore,Entry level,Contract,Closing on 22 Mar 2022,5 day(s) ago
"Manager/Senior Manager, Strategy and Corporate Planning",Workforce Singapore,Entry level,Contract,Closing on 22 Mar 2022,5 day(s) ago
"Business Partner/Senior Business Partner, Future Leaders Attraction",Enterprise Singapore,Entry level,Permanent/Contract,Closing in 4  day(s),1 week(s) ago
"Manager, Data",Workforce Singapore,Entry level,Contract,Closing on 22 Mar 2022,5 day(s) ago
"Products Development and Management, Head (SGN)",Economic Development Board,06-10 year(s),Permanent,Closing on 31 Mar 2022,1 month(s) ago
SCDF Paramedic Specialist (Direct-Entry Sergeant),MHA - Singapore Civil Defence Force (SCDF),Entry level,Permanent/Contract,,
"Development Partner/Senior Development Partner, Human Capital Capability",Enterprise Singapore,Entry level,Permanent/Contract,Closing in 4  day(s),1 week(s) ago
Senior Manager/ Manager (2-year contract) [Planning & Programmes Division],SkillsFuture Singapore,Entry level,Fixed Terms,Closing on 31 Mar 2022,2 week(s) ago
"Deputy Director / Assistant Director, Central Banking & Devt Platforms Div (PMM)",Monetary Authority of Singapore,Entry level,Permanent,Closing on 31 Mar 2022,1 week(s) ago
"Manager/Senior Manager, Inclusive Workplaces (Workplace Policy & Strategy Div)",Ministry of Manpower,Entry level,Permanent/Contract,Closing on 31 Mar 2022,1 week(s) ago
"Senior Manager, Foreign Manpower Unit (Workplace Policy & Strategy Division)",Ministry of Manpower,Entry level,Permanent/Contract,Closing on 26 Mar 2022,2 week(s) ago
#SGUnited Data Scientist (Contract),Monetary Authority of Singapore,Entry level,Contract,Closing on 31 Mar 2022,1 week(s) ago
"#SGUnitedJobs Assistant Director / Associate, IT Security (Contract)",Monetary Authority of Singapore,Entry level,Contract,Closing on 22 Mar 2022,2 week(s) ago
